#PSV-2.3   input_N:14228053
'GGAPBE96'   7.00000000 1
# pseudo potential for tapp generated by
# psv-2.3.0 2008.9.1                                
# title (comment) of allel input file:
# Nitrogen with non-relativistic                                          
# title (comment) of psv input file:
# Nitrogen                                                                
# stiffness=   0.8433700
# 
     5.00000000000000
    2
    1    1
      8023    0.120365354305866E+01
       1.74801213       3.56773176      -0.74801213       2.02483941
10000
    0.584235345162291E-06   -0.110093629757873E+02
    0.585306478627334E-06   -0.110093629757912E+02
    0.586379575901842E-06   -0.110093629757950E+02
    0.587454640586249E-06   -0.110093629757989E+02
    0.588531676287594E-06   -0.110093629758028E+02
    0.589610686619526E-06   -0.110093629758067E+02
    0.590691675202321E-06   -0.110093629758106E+02
    0.591774645662892E-06   -0.110093629758145E+02
    0.592859601634800E-06   -0.110093629758185E+02
    0.593946546758271E-06   -0.110093629758225E+02
    0.595035484680203E-06   -0.110093629758264E+02
    0.596126419054180E-06   -0.110093629758304E+02
    0.597219353540484E-06   -0.110093629758344E+02
    0.598314291806109E-06   -0.110093629758385E+02
    0.599411237524772E-06   -0.110093629758425E+02
    0.600510194376925E-06   -0.110093629758465E+02
    0.601611166049768E-06   -0.110093629758506E+02
    0.602714156237260E-06   -0.110093629758547E+02
    0.603819168640133E-06   -0.110093629758588E+02
    0.604926206965905E-06   -0.110093629758628E+02
    0.606035274928891E-06   -0.110093629758670E+02
    0.607146376250214E-06   -0.110093629758711E+02
    0.608259514657821E-06   -0.110093629758753E+02
    0.609374693886493E-06   -0.110093629758795E+02
    0.610491917677860E-06   -0.110093629758836E+02
    0.611611189780409E-06   -0.110093629758879E+02
    0.612732513949503E-06   -0.110093629758921E+02
    0.613855893947386E-06   -0.110093629758963E+02
    0.614981333543203E-06   -0.110093629759005E+02
    0.616108836513008E-06   -0.110093629759048E+02
    0.617238406639777E-06   -0.110093629759091E+02
    0.618370047713425E-06   -0.110093629759134E+02
    0.619503763530811E-06   -0.110093629759177E+02
    0.620639557895758E-06   -0.110093629759220E+02
    0.621777434619063E-06   -0.110093629759264E+02
    0.622917397518508E-06   -0.110093629759308E+02
    0.624059450418876E-06   -0.110093629759351E+02
    0.625203597151962E-06   -0.110093629759395E+02
    0.626349841556585E-06   -0.110093629759439E+02
    0.627498187478603E-06   -0.110093629759483E+02
    0.628648638770926E-06   -0.110093629759527E+02
    0.629801199293526E-06   -0.110093629759572E+02
    0.630955872913454E-06   -0.110093629759617E+02
    0.632112663504848E-06   -0.110093629759662E+02
    0.633271574948951E-06   -0.110093629759707E+02
    0.634432611134121E-06   -0.110093629759752E+02
    0.635595775955845E-06   -0.110093629759797E+02
    0.636761073316754E-06   -0.110093629759843E+02
    0.637928507126629E-06   -0.110093629759888E+02
    0.639098081302425E-06   -0.110093629759934E+02
    0.640269799768274E-06   -0.110093629759981E+02
    0.641443666455504E-06   -0.110093629760027E+02
    0.642619685302652E-06   -0.110093629760073E+02
    0.643797860255474E-06   -0.110093629760120E+02
    0.644978195266961E-06   -0.110093629760167E+02
    0.646160694297352E-06   -0.110093629760213E+02
    0.647345361314143E-06   -0.110093629760261E+02
    0.648532200292110E-06   -0.110093629760307E+02
    0.649721215213312E-06   -0.110093629760355E+02
    0.650912410067109E-06   -0.110093629760403E+02
    0.652105788850178E-06   -0.110093629760450E+02
    0.653301355566519E-06   -0.110093629760499E+02
    0.654499114227477E-06   -0.110093629760546E+02
    0.655699068851749E-06   -0.110093629760595E+02
    0.656901223465400E-06   -0.110093629760643E+02
    0.658105582101878E-06   -0.110093629760692E+02
    0.659312148802025E-06   -0.110093629760741E+02
    0.660520927614090E-06   -0.110093629760790E+02
    0.661731922593746E-06   -0.110093629760839E+02
    0.662945137804101E-06   -0.110093629760888E+02
    0.664160577315713E-06   -0.110093629760938E+02
    0.665378245206600E-06   -0.110093629760988E+02
    0.666598145562261E-06   -0.110093629761037E+02
    0.667820282475681E-06   -0.110093629761087E+02
    0.669044660047353E-06   -0.110093629761138E+02
    0.670271282385285E-06   -0.110093629761188E+02
    0.671500153605018E-06   -0.110093629761239E+02
    0.672731277829638E-06   -0.110093629761290E+02
    0.673964659189790E-06   -0.110093629761341E+02
    0.675200301823692E-06   -0.110093629761392E+02
    0.676438209877150E-06   -0.110093629761443E+02
    0.677678387503569E-06   -0.110093629761495E+02
    0.678920838863972E-06   -0.110093629761547E+02
    0.680165568127007E-06   -0.110093629761599E+02
    0.681412579468967E-06   -0.110093629761651E+02
    0.682661877073801E-06   -0.110093629761703E+02
    0.683913465133131E-06   -0.110093629761756E+02
    0.685167347846260E-06   -0.110093629761808E+02
    0.686423529420194E-06   -0.110093629761861E+02
    0.687682014069648E-06   -0.110093629761914E+02
    0.688942806017068E-06   -0.110093629761968E+02
    0.690205909492639E-06   -0.110093629762021E+02
    0.691471328734303E-06   -0.110093629762075E+02
    0.692739067987771E-06   -0.110093629762129E+02
    0.694009131506539E-06   -0.110093629762183E+02
    0.695281523551899E-06   -0.110093629762237E+02
    0.696556248392958E-06   -0.110093629762291E+02
    0.697833310306649E-06   -0.110093629762347E+02
    0.699112713577747E-06   -0.110093629762401E+02
    0.700394462498882E-06   -0.110093629762456E+02
    0.701678561370554E-06   -0.110093629762512E+02
    0.702965014501148E-06   -0.110093629762567E+02
    0.704253826206948E-06   -0.110093629762623E+02
    0.705545000812151E-06   -0.110093629762679E+02
    0.706838542648882E-06   -0.110093629762735E+02
    0.708134456057208E-06   -0.110093629762791E+02
    0.709432745385155E-06   -0.110093629762848E+02
    0.710733414988718E-06   -0.110093629762904E+02
    0.712036469231881E-06   -0.110093629762962E+02
    0.713341912486626E-06   -0.110093629763019E+02
    0.714649749132953E-06   -0.110093629763076E+02
    0.715959983558891E-06   -0.110093629763134E+02
    0.717272620160515E-06   -0.110093629763191E+02
    0.718587663341958E-06   -0.110093629763249E+02
    0.719905117515429E-06   -0.110093629763308E+02
    0.721224987101225E-06   -0.110093629763366E+02
    0.722547276527750E-06   -0.110093629763424E+02
    0.723871990231523E-06   -0.110093629763483E+02
    0.725199132657200E-06   -0.110093629763542E+02
    0.726528708257584E-06   -0.110093629763602E+02
    0.727860721493643E-06   -0.110093629763662E+02
    0.729195176834523E-06   -0.110093629763721E+02
    0.730532078757564E-06   -0.110093629763781E+02
    0.731871431748315E-06   -0.110093629763841E+02
    0.733213240300547E-06   -0.110093629763901E+02
    0.734557508916272E-06   -0.110093629763962E+02
    0.735904242105756E-06   -0.110093629764023E+02
    0.737253444387532E-06   -0.110093629764084E+02
    0.738605120288419E-06   -0.110093629764145E+02
    0.739959274343535E-06   -0.110093629764207E+02
    0.741315911096313E-06   -0.110093629764268E+02
    0.742675035098514E-06   -0.110093629764330E+02
