#PSV-2.1
'LDAPZ81 '   6.00000000 1
# pseudo potential for tapp generated by
# psv-2.1.3 2003.10.31                              
# title (comment) of allel input file:
# Carbon -- LDAPZ81 non-rela, Troullier-Martins, 2010.3.29. M.Yoshimura   
# title (comment) of psv input file:
# Carbon -- LDAPZ81 non-rela, Troullier-Martins, 2010.3.23. M.Yoshimura   
# stiffness=   0.8174469
# 
     4.00000000000000
    2
    1    1
      1629    0.150301184504207E+01
      -0.92896617       1.40297610       1.92896617       2.30558039
 2000
    0.155732675469321E-05   -0.702522622816419E+01
    0.157166092438604E-05   -0.702522622816416E+01
    0.158612703069407E-05   -0.702522622816414E+01
    0.160072628800718E-05   -0.702522622816411E+01
    0.161545992189289E-05   -0.702522622816408E+01
    0.163032916919927E-05   -0.702522622816405E+01
    0.164533527815876E-05   -0.702522622816402E+01
    0.166047950849299E-05   -0.702522622816399E+01
    0.167576313151845E-05   -0.702522622816396E+01
    0.169118743025331E-05   -0.702522622816393E+01
    0.170675369952504E-05   -0.702522622816390E+01
    0.172246324607918E-05   -0.702522622816387E+01
    0.173831738868897E-05   -0.702522622816384E+01
    0.175431745826613E-05   -0.702522622816380E+01
    0.177046479797252E-05   -0.702522622816377E+01
    0.178676076333293E-05   -0.702522622816373E+01
    0.180320672234886E-05   -0.702522622816370E+01
    0.181980405561338E-05   -0.702522622816366E+01
    0.183655415642700E-05   -0.702522622816362E+01
    0.185345843091465E-05   -0.702522622816359E+01
    0.187051829814371E-05   -0.702522622816355E+01
    0.188773519024315E-05   -0.702522622816351E+01
    0.190511055252375E-05   -0.702522622816347E+01
    0.192264584359942E-05   -0.702522622816343E+01
    0.194034253550965E-05   -0.702522622816339E+01
    0.195820211384309E-05   -0.702522622816335E+01
    0.197622607786226E-05   -0.702522622816331E+01
    0.199441594062941E-05   -0.702522622816326E+01
    0.201277322913351E-05   -0.702522622816322E+01
    0.203129948441849E-05   -0.702522622816318E+01
    0.204999626171257E-05   -0.702522622816313E+01
    0.206886513055881E-05   -0.702522622816308E+01
    0.208790767494690E-05   -0.702522622816304E+01
    0.210712549344611E-05   -0.702522622816299E+01
    0.212652019933947E-05   -0.702522622816294E+01
    0.214609342075925E-05   -0.702522622816289E+01
    0.216584680082359E-05   -0.702522622816284E+01
    0.218578199777446E-05   -0.702522622816279E+01
    0.220590068511686E-05   -0.702522622816273E+01
    0.222620455175930E-05   -0.702522622816268E+01
    0.224669530215558E-05   -0.702522622816262E+01
    0.226737465644788E-05   -0.702522622816257E+01
    0.228824435061116E-05   -0.702522622816251E+01
    0.230930613659889E-05   -0.702522622816246E+01
    0.233056178249012E-05   -0.702522622816240E+01
    0.235201307263790E-05   -0.702522622816234E+01
    0.237366180781910E-05   -0.702522622816227E+01
    0.239550980538552E-05   -0.702522622816221E+01
    0.241755889941652E-05   -0.702522622816215E+01
    0.243981094087295E-05   -0.702522622816208E+01
    0.246226779775254E-05   -0.702522622816202E+01
    0.248493135524669E-05   -0.702522622816195E+01
    0.250780351589878E-05   -0.702522622816188E+01
    0.253088619976382E-05   -0.702522622816181E+01
    0.255418134456970E-05   -0.702522622816174E+01
    0.257769090587980E-05   -0.702522622816167E+01
    0.260141685725718E-05   -0.702522622816160E+01
    0.262536119043025E-05   -0.702522622816152E+01
    0.264952591545997E-05   -0.702522622816145E+01
    0.267391306090860E-05   -0.702522622816137E+01
    0.269852467400998E-05   -0.702522622816129E+01
    0.272336282084138E-05   -0.702522622816121E+01
    0.274842958649697E-05   -0.702522622816113E+01
    0.277372707526284E-05   -0.702522622816104E+01
    0.279925741079364E-05   -0.702522622816096E+01
    0.282502273629087E-05   -0.702522622816087E+01
    0.285102521468281E-05   -0.702522622816079E+01
    0.287726702880604E-05   -0.702522622816069E+01
    0.290375038158874E-05   -0.702522622816060E+01
    0.293047749623560E-05   -0.702522622816051E+01
    0.295745061641443E-05   -0.702522622816042E+01
    0.298467200644455E-05   -0.702522622816032E+01
    0.301214395148684E-05   -0.702522622816022E+01
    0.303986875773557E-05   -0.702522622816012E+01
    0.306784875261204E-05   -0.702522622816002E+01
    0.309608628495992E-05   -0.702522622815991E+01
    0.312458372524245E-05   -0.702522622815981E+01
    0.315334346574141E-05   -0.702522622815970E+01
    0.318236792075799E-05   -0.702522622815959E+01
    0.321165952681541E-05   -0.702522622815948E+01
    0.324122074286351E-05   -0.702522622815937E+01
    0.327105405048511E-05   -0.702522622815925E+01
    0.330116195410441E-05   -0.702522622815913E+01
    0.333154698119718E-05   -0.702522622815901E+01
    0.336221168250292E-05   -0.702522622815889E+01
    0.339315863223904E-05   -0.702522622815876E+01
    0.342439042831692E-05   -0.702522622815864E+01
    0.345590969255999E-05   -0.702522622815851E+01
    0.348771907092388E-05   -0.702522622815837E+01
    0.351982123371847E-05   -0.702522622815824E+01
    0.355221887583211E-05   -0.702522622815810E+01
    0.358491471695780E-05   -0.702522622815796E+01
    0.361791150182156E-05   -0.702522622815782E+01
    0.365121200041279E-05   -0.702522622815768E+01
    0.368481900821682E-05   -0.702522622815753E+01
    0.371873534644961E-05   -0.702522622815738E+01
    0.375296386229452E-05   -0.702522622815723E+01
    0.378750742914140E-05   -0.702522622815707E+01
    0.382236894682775E-05   -0.702522622815691E+01
    0.385755134188216E-05   -0.702522622815675E+01
    0.389305756777001E-05   -0.702522622815659E+01
    0.392889060514139E-05   -0.702522622815642E+01
    0.396505346208129E-05   -0.702522622815625E+01
    0.400154917436218E-05   -0.702522622815608E+01
    0.403838080569879E-05   -0.702522622815590E+01
    0.407555144800535E-05   -0.702522622815572E+01
    0.411306422165514E-05   -0.702522622815554E+01
    0.415092227574239E-05   -0.702522622815535E+01
    0.418912878834671E-05   -0.702522622815516E+01
    0.422768696679982E-05   -0.702522622815497E+01
    0.426660004795485E-05   -0.702522622815477E+01
    0.430587129845800E-05   -0.702522622815457E+01
    0.434550401502282E-05   -0.702522622815436E+01
    0.438550152470695E-05   -0.702522622815415E+01
    0.442586718519141E-05   -0.702522622815394E+01
    0.446660438506244E-05   -0.702522622815373E+01
    0.450771654409604E-05   -0.702522622815350E+01
    0.454920711354494E-05   -0.702522622815328E+01
    0.459107957642844E-05   -0.702522622815305E+01
    0.463333744782472E-05   -0.702522622815282E+01
    0.467598427516593E-05   -0.702522622815258E+01
    0.471902363853603E-05   -0.702522622815234E+01
    0.476245915097129E-05   -0.702522622815209E+01
    0.480629445876361E-05   -0.702522622815184E+01
