#PSV-2.3   Si.psv.in:1479f9c6
'GGAPBE96'  14.00000000 1
# pseudo potential for tapp generated by
# psv-2.3.0 2008.9.1                                
# title (comment) of allel input file:
# Si -- GGA, non-relarivistic, 2013.06.26 K. Sawada                       
# title (comment) of psv input file:
# Si -- GGA, non-relativistic, 2013.06.26 K. Sawada                       
# stiffness=   0.8557662
# 
     4.00000000000000
    2
    1    1
      1685    0.251068720072167E+01
       1.92620580       1.13109540      -0.92620580       0.53380932
 2000
    0.106963646876197E-05   -0.505691904100165E+01
    0.107948176976041E-05   -0.505691904100167E+01
    0.108941769028667E-05   -0.505691904100170E+01
    0.109944506443399E-05   -0.505691904100173E+01
    0.110956473397286E-05   -0.505691904100176E+01
    0.111977754842173E-05   -0.505691904100179E+01
    0.113008436511831E-05   -0.505691904100182E+01
    0.114048604929152E-05   -0.505691904100185E+01
    0.115098347413418E-05   -0.505691904100188E+01
    0.116157752087624E-05   -0.505691904100191E+01
    0.117226907885881E-05   -0.505691904100194E+01
    0.118305904560881E-05   -0.505691904100198E+01
    0.119394832691428E-05   -0.505691904100201E+01
    0.120493783690046E-05   -0.505691904100204E+01
    0.121602849810653E-05   -0.505691904100208E+01
    0.122722124156299E-05   -0.505691904100211E+01
    0.123851700686992E-05   -0.505691904100215E+01
    0.124991674227575E-05   -0.505691904100218E+01
    0.126142140475695E-05   -0.505691904100222E+01
    0.127303196009831E-05   -0.505691904100226E+01
    0.128474938297405E-05   -0.505691904100230E+01
    0.129657465702961E-05   -0.505691904100234E+01
    0.130850877496426E-05   -0.505691904100238E+01
    0.132055273861438E-05   -0.505691904100242E+01
    0.133270755903764E-05   -0.505691904100246E+01
    0.134497425659779E-05   -0.505691904100250E+01
    0.135735386105039E-05   -0.505691904100255E+01
    0.136984741162922E-05   -0.505691904100259E+01
    0.138245595713349E-05   -0.505691904100263E+01
    0.139518055601596E-05   -0.505691904100268E+01
    0.140802227647173E-05   -0.505691904100273E+01
    0.142098219652795E-05   -0.505691904100277E+01
    0.143406140413427E-05   -0.505691904100282E+01
    0.144726099725425E-05   -0.505691904100287E+01
    0.146058208395743E-05   -0.505691904100292E+01
    0.147402578251244E-05   -0.505691904100297E+01
    0.148759322148083E-05   -0.505691904100302E+01
    0.150128553981180E-05   -0.505691904100307E+01
    0.151510388693786E-05   -0.505691904100313E+01
    0.152904942287127E-05   -0.505691904100318E+01
    0.154312331830144E-05   -0.505691904100324E+01
    0.155732675469321E-05   -0.505691904100329E+01
    0.157166092438604E-05   -0.505691904100335E+01
    0.158612703069407E-05   -0.505691904100341E+01
    0.160072628800718E-05   -0.505691904100347E+01
    0.161545992189289E-05   -0.505691904100353E+01
    0.163032916919927E-05   -0.505691904100359E+01
    0.164533527815876E-05   -0.505691904100366E+01
    0.166047950849299E-05   -0.505691904100372E+01
    0.167576313151845E-05   -0.505691904100379E+01
    0.169118743025331E-05   -0.505691904100385E+01
    0.170675369952504E-05   -0.505691904100392E+01
    0.172246324607918E-05   -0.505691904100399E+01
    0.173831738868897E-05   -0.505691904100406E+01
    0.175431745826613E-05   -0.505691904100413E+01
    0.177046479797252E-05   -0.505691904100421E+01
    0.178676076333293E-05   -0.505691904100428E+01
    0.180320672234886E-05   -0.505691904100436E+01
    0.181980405561338E-05   -0.505691904100443E+01
    0.183655415642700E-05   -0.505691904100451E+01
    0.185345843091465E-05   -0.505691904100459E+01
    0.187051829814371E-05   -0.505691904100468E+01
    0.188773519024315E-05   -0.505691904100476E+01
    0.190511055252375E-05   -0.505691904100484E+01
    0.192264584359942E-05   -0.505691904100493E+01
    0.194034253550965E-05   -0.505691904100502E+01
    0.195820211384309E-05   -0.505691904100511E+01
    0.197622607786226E-05   -0.505691904100520E+01
    0.199441594062941E-05   -0.505691904100529E+01
    0.201277322913351E-05   -0.505691904100539E+01
    0.203129948441849E-05   -0.505691904100548E+01
    0.204999626171257E-05   -0.505691904100558E+01
    0.206886513055881E-05   -0.505691904100568E+01
    0.208790767494690E-05   -0.505691904100578E+01
    0.210712549344611E-05   -0.505691904100589E+01
    0.212652019933947E-05   -0.505691904100599E+01
    0.214609342075925E-05   -0.505691904100610E+01
    0.216584680082359E-05   -0.505691904100621E+01
    0.218578199777446E-05   -0.505691904100632E+01
    0.220590068511686E-05   -0.505691904100643E+01
    0.222620455175930E-05   -0.505691904100655E+01
    0.224669530215558E-05   -0.505691904100667E+01
    0.226737465644788E-05   -0.505691904100679E+01
    0.228824435061116E-05   -0.505691904100691E+01
    0.230930613659889E-05   -0.505691904100703E+01
