#PSV-2.1
'LDAPZ81 '   1.00000000 1
# pseudo potential for tapp generated by
# psv-2.1.0 2001.8.21                               
# title (comment) of allel input file:
# H -- LDAPZ81, NR, [1s(1)2p(0)], Z=1.0, p-local                          
# title (comment) of psv input file:
# H -- LDAPZ81, TM, rc={1.5}, iloc=0(2p)                                  
# stiffness=   0.7063823
# 
     1.00000000000000
    1
    1
      1675    0.150885017155339E+01
      -1.08943254       1.36662518       2.08943254       2.29382978
 1990
    0.780744111448999E-06   -0.182505985374026E+01
    0.787733820124541E-06   -0.182505985374026E+01
    0.794786105035565E-06   -0.182505985374026E+01
    0.801901526403595E-06   -0.182505985374026E+01
    0.809080649465607E-06   -0.182505985374025E+01
    0.816324044518933E-06   -0.182505985374025E+01
    0.823632286966561E-06   -0.182505985374025E+01
    0.831005957362848E-06   -0.182505985374025E+01
    0.838445641459634E-06   -0.182505985374025E+01
    0.845951930252776E-06   -0.182505985374025E+01
    0.853525420029094E-06   -0.182505985374025E+01
    0.861166712413741E-06   -0.182505985374025E+01
    0.868876414417993E-06   -0.182505985374025E+01
    0.876655138487471E-06   -0.182505985374025E+01
    0.884503502550791E-06   -0.182505985374025E+01
    0.892422130068650E-06   -0.182505985374025E+01
    0.900411650083357E-06   -0.182505985374025E+01
    0.908472697268800E-06   -0.182505985374025E+01
    0.916605911980863E-06   -0.182505985374025E+01
    0.924811940308294E-06   -0.182505985374025E+01
    0.933091434124035E-06   -0.182505985374025E+01
    0.941445051136998E-06   -0.182505985374024E+01
    0.949873454944317E-06   -0.182505985374024E+01
    0.958377315084061E-06   -0.182505985374024E+01
    0.966957307088425E-06   -0.182505985374024E+01
    0.975614112537384E-06   -0.182505985374024E+01
    0.984348419112849E-06   -0.182505985374024E+01
    0.993160920653283E-06   -0.182505985374024E+01
    0.100205231720883E-05   -0.182505985374024E+01
    0.101102331509691E-05   -0.182505985374024E+01
    0.102007462695835E-05   -0.182505985374024E+01
    0.102920697181398E-05   -0.182505985374024E+01
    0.103842107512174E-05   -0.182505985374024E+01
    0.104771766883433E-05   -0.182505985374023E+01
    0.105709749145737E-05   -0.182505985374023E+01
    0.106656128810800E-05   -0.182505985374023E+01
    0.107610981057415E-05   -0.182505985374023E+01
    0.108574381737421E-05   -0.182505985374023E+01
    0.109546407381730E-05   -0.182505985374023E+01
    0.110527135206407E-05   -0.182505985374023E+01
    0.111516643118803E-05   -0.182505985374023E+01
    0.112515009723744E-05   -0.182505985374023E+01
    0.113522314329775E-05   -0.182505985374023E+01
    0.114538636955464E-05   -0.182505985374023E+01
    0.115564058335750E-05   -0.182505985374022E+01
    0.116598659928365E-05   -0.182505985374022E+01
    0.117642523920302E-05   -0.182505985374022E+01
    0.118695733234340E-05   -0.182505985374022E+01
    0.119758371535637E-05   -0.182505985374022E+01
    0.120830523238373E-05   -0.182505985374022E+01
    0.121912273512457E-05   -0.182505985374022E+01
    0.123003708290292E-05   -0.182505985374022E+01
    0.124104914273601E-05   -0.182505985374021E+01
    0.125215978940314E-05   -0.182505985374021E+01
    0.126336990551521E-05   -0.182505985374021E+01
    0.127468038158477E-05   -0.182505985374021E+01
    0.128609211609683E-05   -0.182505985374021E+01
    0.129760601558016E-05   -0.182505985374021E+01
    0.130922299467938E-05   -0.182505985374021E+01
    0.132094397622754E-05   -0.182505985374021E+01
    0.133276989131950E-05   -0.182505985374020E+01
    0.134470167938584E-05   -0.182505985374020E+01
    0.135674028826754E-05   -0.182505985374020E+01
    0.136888667429120E-05   -0.182505985374020E+01
    0.138114180234509E-05   -0.182505985374020E+01
    0.139350664595574E-05   -0.182505985374020E+01
    0.140598218736532E-05   -0.182505985374019E+01
    0.141856941760961E-05   -0.182505985374019E+01
    0.143126933659680E-05   -0.182505985374019E+01
    0.144408295318685E-05   -0.182505985374019E+01
    0.145701128527168E-05   -0.182505985374019E+01
    0.147005535985603E-05   -0.182505985374019E+01
    0.148321621313898E-05   -0.182505985374018E+01
    0.149649489059637E-05   -0.182505985374018E+01
    0.150989244706374E-05   -0.182505985374018E+01
    0.152340994682021E-05   -0.182505985374018E+01
    0.153704846367298E-05   -0.182505985374018E+01
    0.155080908104263E-05   -0.182505985374018E+01
    0.156469289204923E-05   -0.182505985374017E+01
    0.157870099959912E-05   -0.182505985374017E+01
    0.159283451647253E-05   -0.182505985374017E+01
    0.160709456541204E-05   -0.182505985374017E+01
    0.162148227921167E-05   -0.182505985374016E+01
    0.163599880080696E-05   -0.182505985374016E+01
    0.165064528336570E-05   -0.182505985374016E+01
    0.166542289037957E-05   -0.182505985374016E+01
    0.168033279575654E-05   -0.182505985374016E+01
    0.169537618391415E-05   -0.182505985374015E+01
    0.171055424987358E-05   -0.182505985374015E+01
    0.172586819935460E-05   -0.182505985374015E+01
    0.174131924887130E-05   -0.182505985374015E+01
    0.175690862582879E-05   -0.182505985374014E+01
    0.177263756862069E-05   -0.182505985374014E+01
    0.178850732672746E-05   -0.182505985374014E+01
    0.180451916081571E-05   -0.182505985374014E+01
    0.182067434283831E-05   -0.182505985374013E+01
    0.183697415613547E-05   -0.182505985374013E+01
    0.185341989553664E-05   -0.182505985374013E+01
    0.187001286746340E-05   -0.182505985374013E+01
    0.188675439003322E-05   -0.182505985374012E+01
    0.190364579316422E-05   -0.182505985374012E+01
    0.192068841868072E-05   -0.182505985374012E+01
    0.193788362041993E-05   -0.182505985374011E+01
    0.195523276433944E-05   -0.182505985374011E+01
    0.197273722862575E-05   -0.182505985374011E+01
    0.199039840380375E-05   -0.182505985374010E+01
    0.200821769284716E-05   -0.182505985374010E+01
    0.202619651129002E-05   -0.182505985374010E+01
    0.204433628733909E-05   -0.182505985374009E+01
    0.206263846198735E-05   -0.182505985374009E+01
    0.208110448912844E-05   -0.182505985374009E+01
    0.209973583567215E-05   -0.182505985374008E+01
    0.211853398166099E-05   -0.182505985374008E+01
    0.213750042038772E-05   -0.182505985374008E+01
    0.215663665851397E-05   -0.182505985374007E+01
    0.217594421618998E-05   -0.182505985374007E+01
    0.219542462717531E-05   -0.182505985374007E+01
    0.221507943896068E-05   -0.182505985374006E+01
    0.223491021289093E-05   -0.182505985374006E+01
    0.225491852428902E-05   -0.182505985374005E+01
    0.227510596258121E-05   -0.182505985374005E+01
    0.229547413142326E-05   -0.182505985374005E+01
    0.231602464882789E-05   -0.182505985374004E+01
    0.233675914729325E-05   -0.182505985374004E+01
    0.235767927393266E-05   -0.182505985374003E+01
    0.237878669060542E-05   -0.182505985374003E+01
    0.240008307404881E-05   -0.182505985374002E+01
    0.242157011601134E-05   -0.182505985374002E+01
    0.244324952338709E-05   -0.182505985374001E+01
    0.246512301835132E-05   -0.182505985374001E+01
    0.248719233849729E-05   -0.182505985374000E+01
    0.250945923697427E-05   -0.182505985374000E+01
    0.253192548262682E-05   -0.182505985373999E+01
    0.255459286013531E-05   -0.182505985373999E+01
    0.257746317015767E-05   -0.182505985373998E+01
    0.260053822947243E-05   -0.182505985373998E+01
    0.262381987112310E-05   -0.182505985373997E+01
    0.264730994456370E-05   -0.182505985373997E+01
    0.267101031580572E-05   -0.182505985373996E+01
    0.269492286756637E-05   -0.182505985373996E+01
    0.271904949941812E-05   -0.182505985373995E+01
    0.274339212793957E-05   -0.182505985373994E+01
    0.276795268686775E-05   -0.182505985373994E+01
    0.279273312725171E-05   -0.182505985373993E+01
    0.281773541760750E-05   -0.182505985373992E+01
    0.284296154407457E-05   -0.182505985373992E+01
    0.286841351057352E-05   -0.182505985373991E+01
    0.289409333896530E-05   -0.182505985373990E+01
    0.292000306921181E-05   -0.182505985373990E+01
    0.294614475953798E-05   -0.182505985373989E+01
    0.297252048659524E-05   -0.182505985373988E+01
    0.299913234562652E-05   -0.182505985373988E+01
    0.302598245063265E-05   -0.182505985373987E+01
